timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packets,bytes,duration,flags,service,state
2024-01-15T08:30:15Z,192.168.1.100,10.0.0.50,12345,22,TCP,15,1200,5.2,SF,ssh,ESTABLISHED
2024-01-15T08:32:45Z,203.0.113.45,10.0.0.100,54321,80,TCP,8,640,2.1,SF,http,ESTABLISHED
2024-01-15T08:35:12Z,10.0.0.200,10.0.0.150,25000,25,TCP,12,960,3.8,SF,smtp,ESTABLISHED
2024-01-15T08:40:33Z,10.0.0.75,8.8.8.8,12345,53,UDP,4,320,0.5,SF,dns,ESTABLISHED
2024-01-15T08:45:21Z,198.51.100.25,10.0.0.10,12345,3389,TCP,25,2000,8.5,SF,rdp,ESTABLISHED
2024-01-15T09:15:44Z,10.0.0.88,malicious-site.com,12345,443,TCP,6,480,1.2,SF,https,ESTABLISHED
2024-01-15T09:30:18Z,10.0.0.120,10.0.0.50,12345,445,TCP,18,1440,6.3,SF,smb,ESTABLISHED
2024-01-15T10:00:55Z,10.0.0.95,10.0.0.95,0,0,ICMP,2,160,0.1,SF,ping,ESTABLISHED
2024-01-15T10:25:33Z,10.0.0.200,10.0.0.30,12345,1433,TCP,22,1760,7.8,SF,mssql,ESTABLISHED
2024-01-15T11:10:12Z,10.0.0.150,api.cloud-provider.com,12345,443,TCP,45,3600,12.5,SF,https,ESTABLISHED
